Vessel,Transect.No.,Speed,Transect
LB,T01,509.74776943693337,T01
LB,T02,530.1927695816927,T02
LB,T03,483.1067554690188,T03
LB,T04,473.2651065970407,T04
LJ,T01,496.7299457685208,T01
LJ,T02,504.8472645921915,T02
LJ,T03,492.4689498725162,T03
LJ,T04,503.4510695665456,T04
LM,T01,498.39078202909366,T01
LM,T02,539.1054386027294,T02
LM,T03,500.19010914995505,T03
LM,T04,498.0013801530713,T04
MS,T01,545.6372355853362,T01
MS,T02,548.171406834366,T02
MS,T03,523.2096842872385,T03
MS,T04,511.7834471145677,T04
SL,T01,524.3354378433143,T01
SL,T02,539.2839186856927,T02
SL,T03,540.6197860130525,T03
SL,T04,534.6782073127364,T04
