Vessel,Start.Lat,Start.Lon,End.Lat,End.Lon
FM,45.03636667,-65.23333333,45.21621667,-64.68106667
Leroy & Barry,45.04821212,-65.23333333,45.22489394,-64.69415152
BP,45.06005758,-65.23333333,45.23357121,-64.70723636
LJ,45.07190303,-65.23333333,45.24224848,-64.72032121
MS,45.08374848,-65.23333333,45.25092576,-64.73340606
LM,45.09559394,-65.23333333,45.25960303,-64.74649091
FM,45.10743939,-65.23333333,45.2682803,-64.75957576
Leroy & Barry,45.11928485,-65.23333333,45.27695758,-64.77266061
BP,45.1311303,-65.23333333,45.28563485,-64.78574545
LJ,45.14297576,-65.23333333,45.29431212,-64.7988303
MS,45.15482121,-65.23333333,45.30298939,-64.81191515
LM,45.16666667,-65.23333333,45.31166667,-64.825
