Vessel,Transect.No.,Date.Time.Start,Date.Time.End,X,Y,Xend,Yend,Dist..km.,Type,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
BP,T01,2026-08-02T19:57:57Z,2026-08-02T22:34:37Z,-65.23302164,45.06505767,-64.72026353,45.23517724,44.559326331,Actual,7,SB,44.559326331,2026-08-02T19:57:57Z,2026-08-02T22:34:37Z,156.66666666666666,9.214489456941603,2026,2026-08-02
BP,T02,2026-08-02T23:16:49Z,2026-08-03T01:37:24Z,-64.80353105,45.28464198,-65.20624821,45.14703149,35.1705285,Actual,7,SB,35.1705285,2026-08-02T23:16:49Z,2026-08-03T01:37:24Z,140.58333333333331,8.10502431765738,2026,2026-08-02
FM,T01,2026-08-02T21:16:49Z,2026-08-03T00:09:44Z,-65.223448,45.0510213,-64.71347186,45.22405351,44.87521407,Actual,7,SB,44.87521407,2026-08-02T21:16:49Z,2026-08-03T00:09:44Z,172.91666666666669,8.407733601718439,2026,2026-08-02
FM,T02,2026-08-03T00:42:13Z,2026-08-03T03:16:25Z,-64.77501044,45.27657292,-65.19811355,45.13459185,37.26345641,Actual,7,SB,37.26345641,2026-08-03T00:42:13Z,2026-08-03T03:16:25Z,154.2,7.829031248164117,2026,2026-08-03
LB,T01,2026-08-02T19:54:22Z,2026-08-02T22:53:31Z,-65.23393704,45.03603521,-64.68763539,45.2144597,47.669135643,Actual,7,SB,47.669135643,2026-08-02T19:54:22Z,2026-08-02T22:53:31Z,179.15,8.620445867363394,2026,2026-08-02
LB,T02,2026-08-02T23:28:29Z,2026-08-03T02:52:07Z,-64.75747333,45.26868833,-65.23388,45.108475,42.11733913,Actual,7,SB,42.11733913,2026-08-02T23:28:29Z,2026-08-03T02:52:07Z,203.63333333333333,6.700717670196367,2026,2026-08-02
LJ,T01,2026-08-02T20:21:44Z,2026-08-02T23:08:31Z,-65.23327333,45.07980667,-64.72889175,45.24856658,43.94733599,Actual,7,SB,43.94733599,2026-08-02T20:21:44Z,2026-08-02T23:08:31Z,166.78333333333336,8.536683280783611,2026,2026-08-02
LJ,T02,2026-08-02T23:52:45Z,2026-08-03T02:22:32Z,-64.81128767,45.29968168,-65.23074544,45.15305204,36.81978281,Actual,7,SB,36.81978281,2026-08-02T23:52:45Z,2026-08-03T02:22:32Z,149.78333333333333,7.96392195586852,2026,2026-08-02
LM,T01,2026-08-02T20:23:42Z,2026-08-02T23:10:57Z,-65.23301945,45.09505289,-64.74546725,45.25909717,42.79233736,Actual,7,SB,42.79233736,2026-08-02T20:23:42Z,2026-08-02T23:10:57Z,167.25,8.289133737305669,2026,2026-08-02
LM,T02,2026-08-02T23:52:59Z,2026-08-03T02:15:59Z,-64.82765111,45.31080111,-65.23445388,45.16614456,36.36408652,Actual,7,SB,36.36408652,2026-08-02T23:52:59Z,2026-08-03T02:15:59Z,143,8.238457568885407,2026,2026-08-02
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,7,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,7,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,7,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,7,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,7,SB,NA,NA,NA,NA,NA,NA,NA
LB,NA,NA,NA,-65.23333333,45.03636667,-64.68106667,45.21621667,NA,Plan,7,SB,47.77303993942598,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,-65.23333333,45.05084444,-64.69705926,45.22682222,NA,Plan,7,SB,46.443751499559156,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,-65.23333333,45.06532222,-64.71305185,45.23742778,NA,Plan,7,SB,45.11540068706484,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,-65.23333333,45.0798,-64.72904444,45.24803333,NA,Plan,7,SB,43.78802490764279,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,-65.23333333,45.09427778,-64.74503704,45.25863889,NA,Plan,7,SB,42.461666934894,NA,NA,NA,NA,NA,NA
LB,NA,NA,NA,-65.23333333,45.10875556,-64.76102963,45.26924444,NA,Plan,7,SB,41.13637518652095,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,-65.23333333,45.12323333,-64.77702222,45.27985,NA,Plan,7,SB,39.812204649537854,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,-65.23333333,45.13771111,-64.79301481,45.29045556,NA,Plan,7,SB,38.48921548846128,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,-65.23333333,45.15218889,-64.80900741,45.30106111,NA,Plan,7,SB,37.167477273569666,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,-65.23333333,45.16666667,-64.825,45.31166667,NA,Plan,7,SB,35.84707290841503,NA,NA,NA,NA,NA,NA
