"Year","month","area","monthly_mean_temperature","monthly_sd_temperature","monthly_se_temperature","monthly_mean_salinity","monthly_sd_salinity","monthly_se_salinity","monthly_mean_density","monthly_sd_density","monthly_se_density","monthly_mean_stratification","monthly_sd_stratification","monthly_se_stratification","monthly_mean_density_stratification","monthly_sd_density_stratification","monthly_se_density_stratification","n_casts","mean_latitude","mean_longitude","min_depth","max_depth"
2017,6,"Prince5",7.02224040031433,NA,NA,31.2081113228431,NA,NA,1024.51090623769,NA,NA,0.328299522399902,NA,NA,0.307971683301048,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2017,6,"Scots Bay",8.02327911904819,NA,NA,31.3998130138554,NA,NA,1024.52452907524,NA,NA,0.0841752869999999,NA,NA,0.116261114684676,NA,NA,1,45.115,-65.24,5.23,29.71
2017,7,"Prince5",9.61797505158644,NA,NA,31.4614652486948,NA,NA,1024.3316703626,NA,NA,0.139299392700195,NA,NA,0.179889651040867,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2017,7,"Scots Bay",10.5247872676007,0.994326571224845,0.37582011849207,31.3736437363881,0.307416473156835,0.116192505271078,1024.10300161954,0.413389126054581,0.156246403176965,0.227594243184292,0.210324800023814,0.0794953022017721,0.18481102703603,0.112547595757383,0.0425389927188947,7,45.1331755791364,-65.269385093471,5,30
2017,8,"German Bank",11.0951728038554,NA,NA,31.9205043138554,NA,NA,1024.44000567762,NA,NA,1.61365714,NA,NA,0.69121083393884,NA,NA,1,43.55292,-66.3148,5.228699966,29.72000087
2017,8,"Prince5",11.6949424010057,NA,NA,31.8798093795776,NA,NA,1024.30175147669,NA,NA,0.12494945526123,NA,NA,0.160644973044782,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2017,8,"Scots Bay",11.7693243956627,NA,NA,31.3286513773494,NA,NA,1023.86034842262,NA,NA,0.0298982000000017,NA,NA,0.421581168270109,NA,NA,1,45.17333333,-65.21,5.23,29.73
2017,9,"German Bank",13.40179328235,0.573418097433053,0.405467825150001,32.3317414273,0.222717751392139,0.157485232300001,1024.28695207954,0.308337593452791,0.21802760322521,0.583105895,0.784455388858251,0.554693724999999,0.230379251971499,0.306955917419566,0.217050610732713,2,43.559,-66.3804,5.228357829,19.88586638
2017,9,"Prince5",11.6761192541856,NA,NA,32.3615612616906,NA,NA,1024.67920975633,NA,NA,0.239200592041016,NA,NA,0.219364176809677,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2017,10,"Prince5",12.4190807342529,NA,NA,32.4997887244591,NA,NA,1024.64756469628,NA,NA,0.220800399780273,NA,NA,0.218530684279585,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2017,11,"Prince5",11.1112424410306,NA,NA,32.5578133509709,NA,NA,1024.93366968123,NA,NA,0.0276498794555664,NA,NA,0.116414258240866,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2018,6,"German Bank",8.83533644676208,0.0549391005620053,0.0274695502810026,31.9761924743652,0.0207781628871702,0.0146923798781167,1024.85679245489,0.00591649991234319,0.00418359720890749,0.208750009536743,0.0592138511495737,0.0296069255747869,-Inf,NA,NA,4,43.3349962234497,-66.236644744873,5,30
2018,6,"Prince5",7.81194806098938,NA,NA,31.3888327525212,NA,NA,1024.54592291083,NA,NA,0.0261502265930176,NA,NA,0.126765100202647,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2018,6,"Scots Bay",7.59913278044578,0,0,31.123134310241,0,0,1024.36672127609,0,0,0.0892717120000004,0,0,0.134989868736739,0,0,2,45.069485,-65.1972,5.226564788,29.71614866
2018,7,"Prince5",10.7479289495028,NA,NA,31.79130590879,NA,NA,1024.40094561403,NA,NA,0.0974006652832031,NA,NA,0.151083149810802,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2018,7,"Scots Bay",11.8091504626115,1.1086695049219,0.452612430073783,31.3041960766865,0.450362411254283,0.183859684483744,1023.82935378427,0.496219473879736,0.20258075190628,0.554308804950358,0.428049346207282,0.174750413823297,0.303153883709399,0.182589618190564,0.0745418994827473,6,45.1602718518066,-65.2516662841797,5,30
2018,8,"German Bank",12.9362069406627,2.05380810288693,1.45226163680723,31.8251946303614,0.538540839445871,0.380805879518071,1024.01047391872,0.823544349684937,0.582333794270085,3.40541326,3.10889937487397,2.19832383,1.08052165647518,1.14990096128764,0.813102767419423,2,43.55735,-66.3607,5.227149249,29.75245469
