"year","month","month_name","station_id","area","monthly_mean_temperature","monthly_sd_temperature","monthly_se_temperature","monthly_mean_salinity","monthly_sd_salinity","monthly_se_salinity","monthly_mean_density","monthly_sd_density","monthly_se_density","monthly_mean_stratification","monthly_sd_stratification","monthly_se_stratification","monthly_mean_density_stratification","monthly_sd_density_stratification","monthly_se_density_stratification","n_casts","mean_latitude","mean_longitude","min_depth","max_depth"
2017,6,"June","Prince-5","Prince5",7.02224040031433,NA,NA,31.2081113228431,NA,NA,1024.51090623769,NA,NA,0.328299522399902,NA,NA,0.307971683301048,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2017,7,"July","Prince-5","Prince5",9.61797505158644,NA,NA,31.4614652486948,NA,NA,1024.3316703626,NA,NA,0.139299392700195,NA,NA,0.179889651040867,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2017,8,"August","Prince-5","Prince5",11.6949424010057,NA,NA,31.8798093795776,NA,NA,1024.30175147669,NA,NA,0.12494945526123,NA,NA,0.160644973044782,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2017,9,"September","Prince-5","Prince5",11.6761192541856,NA,NA,32.3615612616906,NA,NA,1024.67920975633,NA,NA,0.239200592041016,NA,NA,0.219364176809677,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2017,10,"October","Prince-5","Prince5",12.4190807342529,NA,NA,32.4997887244591,NA,NA,1024.64756469628,NA,NA,0.220800399780273,NA,NA,0.218530684279585,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2017,11,"November","Prince-5","Prince5",11.1112424410306,NA,NA,32.5578133509709,NA,NA,1024.93366968123,NA,NA,0.0276498794555664,NA,NA,0.116414258240866,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2018,6,"June","Prince-5","Prince5",7.81194806098938,NA,NA,31.3888327525212,NA,NA,1024.54592291083,NA,NA,0.0261502265930176,NA,NA,0.126765100202647,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2018,6,"June","nan","Polygon",8.83533644676208,0.0549391005620053,0.0274695502810026,31.9761924743652,0.0207781628871702,0.0146923798781167,1024.85679245489,0.00591649991234319,0.00418359720890749,0.208750009536743,0.0592138511495737,0.0296069255747869,-Inf,NA,NA,4,43.3349962234497,-66.236644744873,5,30
2018,7,"July","Prince-5","Prince5",10.7479289495028,NA,NA,31.79130590879,NA,NA,1024.40094561403,NA,NA,0.0974006652832031,NA,NA,0.151083149810802,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2018,8,"August","Prince-5","Prince5",12.5706288997944,NA,NA,32.0792980194092,NA,NA,1024.29278941137,NA,NA,0.342249870300293,NA,NA,0.255027475083125,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2018,9,"September","Prince-5","Prince5",13.3938557918255,NA,NA,32.2901442601131,NA,NA,1024.29491296975,NA,NA,0.020050048828125,NA,NA,0.124814651511997,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2018,10,"October","Prince-5","Prince5",12.411603817573,NA,NA,32.610523223877,NA,NA,1024.73483363947,NA,NA,0.00489997863769531,NA,NA,0.123865955932615,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2018,11,"November","Prince-5","Prince5",9.98731917601365,NA,NA,32.7312635275034,NA,NA,1025.26235346954,NA,NA,0.0146493911743164,NA,NA,0.110847788661431,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2019,6,"June","Prince-5","Prince5",7.01822401010073,0.0451174491717696,0.0319028542591977,31.3667471225445,0.0179235892581806,0.0126738915076618,1024.6361861727,0.020034552588968,0.0141665679936978,0.464100122451782,0.0156263655538991,0.0110495090484619,0.3581885974221,0.0127616377422127,0.0090238405865648,2,44.9306983947754,-66.8495025634766,5,30
2019,7,"July","Prince-5","Prince5",9.56148743629456,0.0373419780980415,0.0264047659360447,31.4660972448496,0.00272644720951645,0.00192788931039622,1024.3438959521,0.00802402375886097,0.00567384161229256,1.14987516403198,0.0441597819957743,0.0312256813049316,0.542168464529595,0.023224778581892,0.0164223984268119,2,44.9306983947754,-66.8495025634766,5,30
2019,8,"August","Prince-5","Prince5",11.7010856958536,0.135967263550952,0.0961433740762567,31.744762310615,0.0237492952467504,0.0167932877173786,1024.19556161082,0.0431852819258104,0.0305366056971934,0.60527515411377,0.0206121691453438,0.0145750045776367,0.319213826525811,0.00476288086597389,0.00336786535831379,2,44.9306983947754,-66.8495025634766,5,30
2019,9,"September","Prince-5","Prince5",12.0748615448291,0.00259990291789503,0.00183840898367027,32.0214547377366,0.00338201874364787,0.00239144838773342,1024.34158557121,0.00310002032448295,0.00219204539325801,0.334400177001953,0.0211422079122168,0.0149497985839844,0.244016225762607,0.0160407376707893,0.0113425143822496,2,44.9306983947754,-66.8495025634766,5,30
2019,10,"October","Prince-5","Prince5",11.8943076867324,0.0155427202699316,0.0109903629009542,32.2151176012479,0.0152161275828845,0.0107594269972573,1024.52539653522,0.0146816849426209,0.0103815189821717,0.0597753524780273,0.0122677674897629,0.00867462158203125,0.115602545184515,0.0417289285750201,0.0295068083670458,2,44.9306983947754,-66.8495025634766,5,30
2019,11,"November","Prince-5","Prince5",10.7101277938256,0.0246957708134342,0.0174625470088081,32.4642288501446,0.0149659957631701,0.0105825570913467,1024.93114398383,0.0074085209300203,0.00523861538817982,0.400099754333496,0.0280016918010618,0.0198001861572266,0.20658815308343,0.00486391646026933,0.00343930831218131,2,44.9306983947754,-66.8495025634766,5,30
2020,7,"July","Prince-5","Prince5",10.9793788469755,NA,NA,31.6992171360896,NA,NA,1024.28910046726,NA,NA,0.39639949798584,NA,NA,0.308843102299761,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2020,8,"August","Prince-5","Prince5",11.8350154069754,NA,NA,32.0026005965013,NA,NA,1024.37138301913,NA,NA,0.478750228881836,NA,NA,0.273719345899508,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2020,9,"September","Prince-5","Prince5",12.6300229659447,NA,NA,32.4785344050481,NA,NA,1024.59065506436,NA,NA,0.167950630187988,NA,NA,0.169161127830876,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2020,10,"October","Prince-5","Prince5",12.0408691993127,NA,NA,32.7413156949557,NA,NA,1024.90640665628,NA,NA,0.0893001556396484,NA,NA,0.157169871460837,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2020,11,"November","Prince-5","Prince5",10.5354404816261,NA,NA,32.6392348362849,NA,NA,1025.09776807861,NA,NA,0.0848007202148438,NA,NA,0.200271962979286,NA,NA,1,44.9306983947754,-66.8495025634766,5,30
2021,6,"June","Prince-5","Prince5",9.10904519374554,0.00998517198397854,0.00706058282118516,31.6816788453322,0.00542343052985872,0.00383494450495725,1024.58362019245,0.00582969754532569,0.00412221866656637,0.74317455291748,0.0723024128582566,0.0511255264282227,0.380782301267232,0.0276469669489483,0.0195493578088417,2,44.9306983947754,-66.8495025634766,5,30
2021,7,"July","Prince-5","Prince5",11.547306739367,0.0024545546477076,0.001735632236187,31.7678220455463,0.00327329284275007,0.00231456756591797,1024.24148833772,0.0030213055581634,0.00213638564821395,0.686574935913086,0.17278184840738,0.122175216674805,0.376766162571982,0.0652098882663577,0.0461103541935586,2,44.9306983947754,-66.8495025634766,5,30
2021,8,"August","Prince-5","Prince5",13.134423164221,0.0109520855301238,0.00774429394648557,32.0607456060556,0.00117201956339094,0.000828742980957031,1024.16899108052,0.00306135552780713,0.00216470525333534,0.098325252532959,0.0334106497515559,0.0236248970031738,0.152813562981123,0.0131974978007905,0.00933204018963352,2,44.9306983947754,-66.8495025634766,5,30
