Vessel,Transect.No.,Speed,Transect
BP,T01,8.399742699274398,T01
BP,T02,10.028549614213466,T02
BP,T03,8.43886923922934,T03
BP,T04,7.925372324248809,T04
LB,T01,7.758951267402446,T01
LB,T02,8.757953335833324,T02
LB,T03,9.249032606432428,T03
LB,T04,7.563378352515925,T04
LJ,T01,8.401099498934263,T01
LJ,T02,8.953857731154411,T02
LJ,T03,8.802279425851115,T03
LJ,T04,7.923088854580205,T04
LM,T01,8.55662326730191,T01
LM,T02,8.62423280051736,T02
LM,T03,8.495739082928228,T03
LM,T04,8.59336662511983,T04
MS,T01,8.548443703864557,T01
MS,T02,9.751065248401815,T02
MS,T03,9.456321895658768,T03
MS,T04,8.080475665291566,T04
