Vessel,Transect.No.,Speed,Transect
BP,T01,8.3828097184559,T01
BP,T02,8.4022056689744,T02
BP,T03,9.409661708664514,T03
BP,T04,8.311473269256972,T04
FM,T01,8.41602160544599,T01
FM,T02,8.3879054848476855,T02
FM,T03,9.078178357297856,T03
FM,T04,9.277539426787184,T04
LB,T01,7.518534871177845,T01
LB,T02,8.334241227818737,T02
LB,T03,9.29611668269212,T03
LB,T04,8.561003771113205,T04
LJ,T01,8.275298670892257,T01
LJ,T02,8.614712145735306,T02
LJ,T03,8.94695467734316,T03
LJ,T04,8.43568039784481,T04
LM,T01,8.304311680993603,T01
LM,T02,8.444165827276237,T02
LM,T03,8.61202904381112,T03
LM,T04,8.587403837374223,T04
MS,T01,7.579200618470945,T01
MS,T02,8.858762667294853,T02
MS,T03,9.508305235855325,T03
MS,T04,8.950961259979207,T04
