Vessel,Transect.No.,Speed,Transect
BP,T01,8.301719038475266,T01
BP,T02,8.44675699532052,T02
BP,T03,8.209896642316098,T03
C1,T01,8.95616206768712,T01
C1,T02,9.0398074817893,T02
C1,T03,8.955608207576338,T03
FM,T01,8.562039288495896,T01
FM,T02,8.697047687393733,T02
FM,T03,8.90012765128231,T03
LB,T01,7.432189514039019,T01
LB,T02,9.013205118595991,T02
LB,T03,8.993098748677808,T03
LJ,T01,8.323849134804147,T01
LJ,T02,8.47966109664515,T02
LJ,T03,8.654628026180232,T03
LM,T01,8.362820186924031,T01
LM,T02,8.465292470835683,T02
LM,T03,8.579680309272472,T03
MS,T01,7.802663074847373,T01
MS,T02,9.371880336805734,T02
MS,T03,9.299042362415191,T03
SL,T01,8.74688009002109,T01
SL,T02,9.019005265772476,T02
SL,T03,9.122976738373517,T03
TM,T01,7.526302668981785,T01
TM,T02,8.591615721474529,T02
TM,T03,8.43268313647002,T03
