Tag_Num,returnedArea,returnedLat,returnedLon,returnedDate,ReturnedBoat,GearType,Company,Catch.t,dataorigin,originalDF,id,Comments
564161,Scots Bay,,,?,Canada 100,Purse Seine,Connors,,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,,
572411,UNKNOWN,,,01-06-2023,UNKOWN,Purse Seine,Barry Group,,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,,
567482,UNKNOWN,43 17.24,66 24.69,01-09-2023,Lady Janice,Purse Seine,Comeau,84,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,01-09-2023 Lady Janice,
569215,UNKNOWN,43 17.24,66 24.69,01-09-2023,Lady Janice,Purse Seine,Comeau,84,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,01-09-2023 Lady Janice,
569032,UNKNOWN,43 17.24,66 24.69,01-09-2023,Lady Janice,Purse Seine,Comeau,84,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,01-09-2023 Lady Janice,
564460,UNKNOWN,43 17.24,66 24.69,01-09-2023,Lady Janice,Purse Seine,Comeau,84,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,01-09-2023 Lady Janice,
564341,UNKNOWN,43 17.24,66 24.69,01-09-2023,Lady Janice,Purse Seine,Comeau,84,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,01-09-2023 Lady Janice,
532275,German Bank,,,01-11-2024,UNKOWN,Purse Seine,Website,,2024 Tag Returns.csv,Tag returns from website or email 2025 Draw,2024-11-01 UNKOWN,
567881,UNKNOWN,,,02-08-2024,UNKOWN,Purse Seine,Comeau,,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,,
471754,Scots Bay,45 07.86,65 04.24,03-09-2024,Canada 100,Purse Seine,Connors,81,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,03-09-2024 Canada 100,
502977,German Bank,,,03-10-2024,UNKOWN,Purse Seine,Website,,2024 Tag Returns.csv,Tag returns from website or email 2025 Draw,2024-10-03 UNKOWN,
566638,UNKNOWN,,,04-02-2025,UNKOWN,Purse Seine,Website,,2024 Tag Returns.csv,Tag returns from website or email 2025 Draw,2025-02-04 UNKOWN,
577472,UNKNOWN,43 16.00,66 21.00,05-09-2023,Fundy Monarch,Purse Seine,Connors,185,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,05-09-2023 Fundy Monarch,
567083,Seal Island,43 16.0,66 23.1,05-09-2023,Lady Melissa,Purse Seine,Comeau,78,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,05-09-2023 Lady Melissa,
567442,Seal Island,43 16.0,66 23.1,05-09-2023,Lady Melissa,Purse Seine,Comeau,78,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,05-09-2023 Lady Melissa,
564416,Seal Island,43 16.0,66 23.1,05-09-2023,Lady Melissa,Purse Seine,Comeau,78,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,05-09-2023 Lady Melissa,
567465,Seal Island,43 16.0,66 23.1,05-09-2023,Lady Melissa,Purse Seine,Comeau,78,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,05-09-2023 Lady Melissa,
564456,Seal Island,43 16.0,66 23.1,05-09-2023,Lady Melissa,Purse Seine,Comeau,78,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,05-09-2023 Lady Melissa,
564640,Seal Island,43 16.0,66 23.1,05-09-2023,Lady Melissa,Purse Seine,Comeau,78,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,05-09-2023 Lady Melissa,
567923,Seal Island,43 16.0,66 23.1,05-09-2023,Lady Melissa,Purse Seine,Comeau,78,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,05-09-2023 Lady Melissa,
564349,Seal Island,43 16.0,66 23.1,05-09-2023,Lady Melissa,Purse Seine,Comeau,78,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,05-09-2023 Lady Melissa,
564107,Scots Bay,45 09.76,64 58.37,06-08-2024,Canada 100,Purse Seine,Connors,106,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,,
567570,UNKNOWN,43 15,66 23,06-09-2023,Brunswick Provider,Purse Seine,Connors,122,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,,Used BP as Connors vessel that had the biggest catch on the day.
567207,UNKNOWN,43 15,66 23,06-09-2023,Brunswick Provider,Purse Seine,Connors,122,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,,Used BP as Connors vessel that had the biggest catch on the day.
500940,UNKNOWN,43 15,66 23,06-09-2023,Brunswick Provider,Purse Seine,Connors,122,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,,Used BP as Connors vessel that had the biggest catch on the day.
471823,UNKNOWN,43 15,66 23,06-09-2023,Brunswick Provider,Purse Seine,Connors,122,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,,Used BP as Connors vessel that had the biggest catch on the day.
569073,UNKNOWN,43 15,66 23,06-09-2023,Brunswick Provider,Purse Seine,Connors,122,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,,Used BP as Connors vessel that had the biggest catch on the day.
471652,UNKNOWN,43 15,66 23,06-09-2023,Brunswick Provider,Purse Seine,Connors,122,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,,Used BP as Connors vessel that had the biggest catch on the day.
521399,Lurcher,43 54,68 27.9,07-06-2024,LEROY & BARRY,Purse Seine,Scotia Gardens,66,2024 Tag Returns.csv,Herring Research Tags Collected Information (1).xlsx,07-06-2024 LEROY & BARRY,
528137,German Bank,45 09.26,64 59.54,07-09-2023,Lady Janice,Purse Seine,Comeau,147,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,07-09-2023 Lady Janice,
567428,German Bank,45 09.26,64 59.54,07-09-2023,Lady Janice,Purse Seine,Comeau,147,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,07-09-2023 Lady Janice,
564354,UNKNOWN,45 08,65 03,07-09-2023,Fundy Monarch,Purse Seine,Connors,119,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,,Used FM as Connors vessel that had the biggest catch on the day.
567510,UNKNOWN,45 08,65 03,07-09-2023,Fundy Monarch,Purse Seine,Seacreast,119,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,,Used FM as Connors vessel that had the biggest catch on the day.
564891,UNKNOWN,45 08,65 03,07-09-2023,Fundy Monarch,Purse Seine,Seacreast,119,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,,Used FM as Connors vessel that had the biggest catch on the day.
471841,UNKNOWN,45 08,65 03,07-09-2023,Fundy Monarch,Purse Seine,Seacreast,119,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,,Used FM as Connors vessel that had the biggest catch on the day.
567176,UNKNOWN,45 08,65 03,07-09-2023,Fundy Monarch,Purse Seine,Seacreast,119,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,,Used FM as Connors vessel that had the biggest catch on the day.
502446,UNKNOWN,45 08,65 03,07-09-2023,Fundy Monarch,Purse Seine,Seacreast,119,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,,Used FM as Connors vessel that had the biggest catch on the day.
471495,UNKNOWN,45 08,65 03,07-09-2023,Fundy Monarch,Purse Seine,Seacreast,119,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,,Used FM as Connors vessel that had the biggest catch on the day.
563788,UNKNOWN,45 08,65 03,07-09-2023,Fundy Monarch,Purse Seine,Seacreast,119,2024 Tag Returns.csv,Connors Fish Tag Data 2024.xlsx,,Used FM as Connors vessel that had the biggest catch on the day.
