Vessel,Transect.No.,Speed,Transect
BP,T01,8.470145032220916,T01
BP,T02,8.545376611734968,T02
C1,T01,8.708064755685346,T01
C1,T02,9.055943406504003,T02
C1,T03,8.999180349054749,T03
FM,T01,8.983505909449125,T01
FM,T02,8.952815731576516,T02
FM,T03,8.818080712856005,T03
LB,T01,8.215544070195078,T01
LB,T02,8.116804407957474,T02
LB,T03,9.01643847211872,T03
LJ,T01,8.30561730458266,T01
LJ,T02,8.771327459294245,T02
LJ,T03,8.822483088227758,T03
LM,T01,8.349718254296286,T01
LM,T02,8.579625015325139,T02
LM,T03,8.32855088845797,T03
MS,T01,8.963434009325564,T01
MS,T02,9.274320050076188,T02
MS,T03,9.220880347554461,T03
MS,T04,10.503188590683376,T04
SL,T01,8.553695154229295,T01
SL,T02,9.404280484891018,T02
SL,T03,8.889536671792602,T03
