Vessel,Start.Lat,Start.Lon,End.Lat,End.Lon
LM,45.09,-65.23333333,45.2555,-64.74033333
LM,45.254,-64.73516667,45.30683333,-64.55
LM,45.32833333,-64.55,45.26866667,-64.75716667
LM,45.26683333,-64.75733333,45.10533333,-65.23333333
FM,45.12066667,-65.23333333,45.278,-64.77416667
FM,45.28916667,-64.79116667,45.136,-65.23333333
FM,45.15133333,-65.23333333,45.3005,-64.808
BP,45.16666667,-65.23333333,45.31166667,-64.825
BP,45.31666667,-64.83333333,45.25,-65.05
BP,45.263,-65.05,45.3245,-64.85
BP,45.33216667,-64.86666667,45.27616667,-65.05
BP,45.28916667,-65.05,45.34,-64.88333333
