Vessel,Transect.No.,Speed,Transect
FM,T01,8.674198578934565,T01
FM,T02,8.698013884899426,T02
FM,T03,8.631258975614632,T03
FM,T04,8.761573801826694,T04
LB,T01,8.577779357450517,T01
LB,T02,7.786082059196619,T02
LB,T03,8.63771919398507,T03
LB,T04,9.132093187054213,T04
LJ,T01,8.347918598153862,T01
LJ,T02,8.35086902646787,T02
LJ,T03,8.342823977015874,T03
LJ,T04,8.589367532434487,T04
LM,T01,8.299968955185076,T01
LM,T02,8.340247788661058,T02
LM,T03,8.26857424025181,T03
LM,T04,9.240820394378584,T04
MS,T01,8.910527434543647,T01
MS,T02,7.955540274577078,T02
MS,T03,8.304638208559071,T03
MS,T04,9.840182612774663,T04
