Vessel,Transect.No.,Speed,Transect
BP,T01,0.14245726691755725,T01
BP,T02,0.13840276480783004,T02
BP,T03,0.1454049383694144,T03
BP,T04,0.16690957248951035,T04
C1,T01,0.145426778455539,T01
C1,T02,0.12931829100503023,T02
FM,T01,0.14278919179811628,T01
FM,T02,0.1641551068639243,T02
LJ,T01,0.13349304481192653,T01
LJ,T02,0.13502941493991663,T02
LJ,T03,0.13805037100223627,T03
LJ,T04,0.14686645668270062,T04
LM,T01,0.1378904962007765,T01
LM,T02,0.15513747134763378,T02
MS,T01,0.13752168558292904,T01
MS,T02,0.11727432753489973,T02
