Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
C1,T02,-35.5,-56.29508511,0.00832705607042307,42.45900881
C1,T01,-35.5,-36.20163632,0.850817409709312,36.480886138
FM,T01,-35.5,-54.38138427,0.0129378339527153,47.150756457
FM,T02,-35.5,-54.16500796,0.013598756708236,39.63861432
LM,T01,-35.5,-56.22075816,0.00847079524195106,46.014100577
LM,T02,-35.5,-53.39567507,0.0162342598454062,39.28078476
MS,T01,-35.5,-57.87744441,0.00578436326019202,45.088752498
MS,T02,-35.5,-80.76704204,2.97369070940249e-05,39.04036204
LJ,T01,-35.5,-52.6425914,0.0193081587103096,14.372286
LJ,T02,-35.5,-39.84324846,0.367853721442258,15.7005455
LJ,T03,-35.5,-39.75931099,0.375032496587364,17.5304313
LJ,T04,-35.5,-39.55821841,0.392806041704766,18.5094167
BP,T01,-35.5,-44.32843432,0.130965398275694,11.467874479
BP,T02,-35.5,-71.58627932,0.000246247634909868,13.26896208
BP,T03,-35.5,-65.54573514,0.00098952435068794,15.78940365
BP,T04,-35.5,-56.05294161,0.00880452313585398,17.46512421
