"Year","month","month_name","ground","monthly_mean_temperature","monthly_sd_temperature","monthly_se_temperature","monthly_mean_salinity","monthly_sd_salinity","monthly_se_salinity","monthly_mean_stratification","monthly_sd_stratification","monthly_se_stratification","n_casts","mean_latitude","mean_longitude","min_depth","max_depth"
2017,6,"June","Scots Bay",8.0228050985119,NA,NA,31.3996808354762,NA,NA,0.0855350990000003,NA,NA,1,45.115,-65.24,5.23,30.01
2017,7,"July","Scots Bay",11.4898217492381,1.28351831421974,0.907584503761905,31.2115572789405,0.396989964471037,0.280714295940477,0.170979990000001,0.211702707402699,0.14969642,2,45.138865,-65.1007,5.227650099,30.02000297
2017,8,"August","German Bank",11.0868134840476,NA,NA,31.9230360619048,NA,NA,1.63525703,NA,NA,1,43.55292,-66.3148,5.228699966,30.01857845
2017,8,"August","Scots Bay",11.769465977381,NA,NA,31.3302779094048,NA,NA,0.0298982000000017,NA,NA,1,45.17333333,-65.21,5.23,30.03
2017,9,"September","German Bank",13.40179328235,0.573418097433053,0.405467825150001,32.3317414273,0.222717751392139,0.157485232300001,0.583105895,0.784455388858251,0.554693724999999,2,43.559,-66.3804,5.228357829,19.88586638
2018,6,"June","Scots Bay",7.59874040067857,0,0,31.1233194692857,0,0,0.0921920270000003,0,0,2,45.069485,-65.1972,5.226564788,30.01478276
2018,7,"July","Scots Bay",11.2279891493651,0.402369845698308,0.232308338727706,31.1916008938889,0.160380323496203,0.092595622943252,0.266122663333334,0.307397950847023,0.177476289669868,3,45.0929766666667,-65.1403666666667,5.229333229,30.0346349
2018,8,"August","German Bank",12.915063018869,2.03124166077061,1.43630475255952,31.82743456375,0.534294443777323,0.377803224345239,3.440566745,3.12723600428409,2.211289785,2,43.55735,-66.3607,5.227149249,30.05113293
2018,8,"August","Scots Bay",12.9351656372619,NA,NA,31.1745922938095,NA,NA,0.391090460000001,NA,NA,1,45.0562,-65.2104,5.233698323,30.04235641
2018,9,"September","German Bank",12.9326577532738,0.513048740872267,0.36278024375,32.0831458155357,0.448168532931087,0.316903008749998,0.361404149999999,0.178147492502646,0.1259693,2,43.5665,-66.3382,5.227334977,30.03291118
2018,9,"September","Scots Bay",13.0563362420238,NA,NA,32.0332192444048,NA,NA,0.87748698,NA,NA,1,45.0605,-65.2333,5.229009141,30.02213748
2019,6,"June","Scots Bay",7.95191243519048,0.697357438203093,0.493106173464286,31.8406183661905,0.0311527749959,0.0220283384523796,0.0718221794999998,0.057660333042745,0.0407720124999997,2,45.05655,-65.2152,5.223181116,29.99896712
