Vessel,Transect.No.,Speed,Transect
BP,T01,7.529219351155484,T01
BP,T02,9.76690422237653,T02
FM,T01,7.203467567843198,T01
FM,T02,7.8569842702301385,T02
FM,T03,8.164023059608965,T03
LB,T01,6.166556497579341,T01
LB,T02,6.589075045518678,T02
LB,T03,9.653605214518498,T03
LB,T04,7.824496154991515,T04
LJ,T01,7.372830105111496,T01
LJ,T02,8.419060128694825,T02
LJ,T03,8.475374652161006,T03
LM,T01,7.602405741426621,T01
LM,T02,8.69821754175854,T02
LM,T03,8.161648255953594,T03
MS,T01,8.297234106195782,T01
MS,T02,8.972666966612936,T02
MS,T03,8.306428313469828,T03
MS,T04,9.023991498052277,T04
MS,T05,9.243920992430251,T05
