Vessel,Transect.No.,Speed,Transect
BP,T01,8.29528030075007,T01
BP,T02,8.503634432902045,T02
BP,T03,8.575595295472736,T03
BP,T04,8.373877544898008,T04
FM,T01,8.348879075243842,T01
FM,T02,8.663430968452404,T02
FM,T03,8.72476093886644,T03
FM,T04,8.744080303215563,T04
LB,T01,7.854555008199525,T01
LB,T02,8.34060357376318,T02
LB,T03,9.184122151543042,T03
LB,T04,8.489430302654581,T04
LJ,T01,8.102271667560268,T01
LJ,T02,8.294196227063948,T02
LJ,T03,8.630723481798054,T03
LJ,T04,8.083048729076271,T04
LM,T01,8.609913024566524,T01
LM,T02,8.688645617582468,T02
LM,T03,9.016935617821197,T03
LM,T04,8.506273738525561,T04
MS,T01,7.916350796037295,T01
MS,T02,9.099118449297524,T02
MS,T03,9.508255704626405,T03
MS,T04,8.551350754004396,T04
