Vessel,Transect No.,Date Time Start,Date Time End,Start Lon,Start Lat,End Lon,End Lat,Dist (km)
BP,T01,2024-09-23 19:00:20,2024-09-23 21:37:36,-65.2345021,45.09155307,-64.83673307,45.22560666,34.70484623
BP,T02,2024-09-23 21:56:36,2024-09-23 23:03:46,-64.90139303,45.26492558,-65.16277036,45.18726693,22.49119136
C1,T01,2024-09-23 19:09:24,2024-09-23 22:23:10,-65.24519194,45.07075938,-64.74150486,45.2374825,45.851726587
C1,T02,2024-09-23 22:48:49,2024-09-24 01:16:46,-64.80943304,45.29544759,-65.21990089,45.14989197,37.29461229
LJ,T01,2024-09-23 19:23:26,2024-09-23 22:49:57,-65.2377571,45.05110796,-64.70573139,45.22833153,46.473592272
LJ,T02,2024-09-23 23:19:32,2024-09-24 02:01:11,-64.78333892,45.28423277,-65.23535185,45.12884013,39.64630092
MS,T01,2024-09-23 19:16:24,2024-09-23 23:05:53,-65.2299639,45.03721143,-64.68198626,45.21588634,50.2878676
MS,T02,2024-09-23 23:40:41,2024-09-24 02:34:04,-64.76499004,45.27152666,-65.2379153,45.10787121,42.8527768
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
