Vessel,Transect No.,Date Time Start,Date Time End,Start Lon,Start Lat,End Lon,End Lat,Dist (km)
BP,T01,2026-07-05 19:51:34,2026-07-05 22:57:09,-65.25168148,45.07269095,-64.74588095,45.24238524,44.089971399
BP,T02,2026-07-05 23:24:19,2026-07-06 01:40:03,-64.80353376,45.29578562,-65.22551,45.154245,36.78643382
FM,T01,2026-07-05 21:42:38,2026-07-06 00:47:39,-65.24469661,45.03253657,-64.69132314,45.2129653,48.101539081
FM,T02,2026-07-06 01:15:34,2026-07-06 03:52:13,-64.76259638,45.26411382,-65.22133013,45.11319956,40.07941585
LB,T01,2026-07-05 20:14:28,2026-07-05 23:25:18,-65.23387423,45.09389505,-64.74471573,45.25897911,43.199202795
LB,T02,2026-07-06 00:12:56,2026-07-06 03:00:33,-64.82395833,45.31152,-65.23333333,45.16666667,37.33687107
LJ,T01,2026-07-05 20:49:55,2026-07-05 23:47:09,-65.23333333,45.05084444,-64.6987085,45.22729443,46.537266644
LJ,T02,2026-07-06 00:18:55,2026-07-06 02:57:10,-64.77790418,45.27807765,-65.22922085,45.12432415,39.45308447
MS,T01,2026-07-05 20:58:15,2026-07-06 00:30:14,-65.23230458,45.06561916,-64.72248323,45.23938464,48.35134945
MS,T02,2026-07-06 01:03:55,2026-07-06 03:48:01,-64.79638173,45.29082667,-65.24319321,45.1335753,40.4639198
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
