Vessel,Transect.No.,Speed,Transect
BP,T01,8.4716373042156,T01
BP,T02,9.270936793688634,T02
BP,T03,8.028740328978762,T03
BP,T04,10.08139751592203,T04
FM,T01,8.574925659434767,T01
FM,T02,9.185013743337416,T02
FM,T03,8.542321802018884,T03
FM,T04,8.712095432985569,T04
LB,T01,8.949230220774247,T01
LB,T02,9.296111559010557,T02
LB,T03,7.763979636585482,T03
LB,T04,8.046096411951565,T04
LJ,T01,8.159771477794,T01
LJ,T02,8.384887658369868,T02
LJ,T03,8.091150855325422,T03
LJ,T04,8.220998043578353,T04
LM,T01,8.307019181950116,T01
LM,T02,8.703851179631272,T02
LM,T03,8.74268412853059,T03
LM,T04,8.423390792178257,T04
MS,T01,8.369890956787335,T01
MS,T02,9.492276408057021,T02
MS,T03,8.356326333310491,T03
MS,T04,9.109938657162889,T04
