Vessel,Transect.No.,Speed,Transect
BP,T01,7.8483035381494775,T01
BP,T02,9.051613569942297,T02
BP,T03,8.862541373208115,T03
FM,T01,7.337769859413926,T01
FM,T02,7.322014506191729,T02
FM,T03,8.20996388982977,T03
LJ,T01,7.819789724388521,T01
LJ,T02,8.20696089090955,T02
LJ,T03,8.270492860074429,T03
LJ,T04,8.312772976838517,T04
LJ,T05,8.774969389529561,T05
LM,T01,7.9414115853904175,T01
LM,T02,8.422362670675897,T02
LM,T03,8.41255369221082,T03
LM,T04,8.60623303655911,T04
MS,T01,7.09931434829874,T01
MS,T02,8.60937847135132,T02
MS,T03,9.075081477364252,T03
