Vessel,Transect No.,Date Time Start,Date Time End,Start Lon,Start Lat,End Lon,End Lat,Dist (km)
C1,T01,2023-09-24 19:49:49,2023-09-24 22:36:41,-65.22443895,45.09598788,-64.74603803,45.25383137,42.756716726
C1,T02,2023-09-24 23:03:44,2023-09-25 01:19:36,-64.82632169,45.31113423,-65.23380314,45.16692171,36.99282427
FM,T01,2023-09-24 20:44:21,2023-09-25 00:05:23,-65.23198521,45.03719583,-64.68105934,45.21668142,47.971931814
FM,T02,2023-09-25 00:34:56,2023-09-25 02:57:49,-64.76880292,45.26975333,-65.21285355,45.11707576,38.98082319
LM,T01,2023-09-24 19:31:26,2023-09-24 22:34:36,-65.23525288,45.05442873,-64.70460644,45.23024085,46.413456282
LM,T02,2023-09-24 22:59:12,2023-09-25 01:20:25,-64.7828195,45.28479101,-65.23125339,45.12941205,39.42937851
MS,T01,2023-09-24 19:45:12,2023-09-24 22:48:54,-65.22454949,45.07649008,-64.72757926,45.24170213,45.26235742
MS,T02,2023-09-24 23:18:21,2023-09-25 01:38:13,-64.80625352,45.29729628,-65.22246493,45.15182093,37.485109
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
