Vessel,Transect.No.,Date.Time.Start,Date.Time.End,X,Y,Xend,Yend,Dist..km.,Type,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
BP,T01,2026-09-13T18:28:46Z,2026-09-13T21:16:36Z,-65.23325563,45.0622209,-64.72990054,45.22870529,43.75787326,Actual,10,SB,43.75787326,2026-09-13T18:28:46Z,2026-09-13T21:16:36Z,167.83333333333331,8.446703511193485,2026,2026-09-13
BP,T02,2026-09-13T21:50:42Z,2026-09-14T00:09:51Z,-64.81266316,45.28558355,-65.2307848,45.14138453,36.58996372,Actual,10,SB,36.58996372,2026-09-13T21:50:42Z,2026-09-14T00:09:51Z,139.15,8.518988510897687,2026,2026-09-13
LM,T01,2026-09-13T18:56:58Z,2026-09-13T22:02:31Z,-65.23199886,45.03715678,-64.6802454,45.21648479,47.970258462,Actual,10,SB,47.970258462,2026-09-13T18:56:58Z,2026-09-13T22:02:31Z,185.54999999999998,8.375685548259595,2026,2026-09-13
LM,T02,2026-09-13T22:37:36Z,2026-09-14T01:18:57Z,-64.76854338,45.27273165,-65.23393158,45.11430903,40.82633056,Actual,10,SB,40.82633056,2026-09-13T22:37:36Z,2026-09-14T01:18:57Z,161.35,8.197485218030204,2026,2026-09-13
MS,T01,2026-09-13T19:45:07Z,2026-09-13T22:39:01Z,-65.23050167,45.08952333,-64.74941085,45.25143357,43.55329931,Actual,10,SB,43.55329931,2026-09-13T19:45:07Z,2026-09-13T22:39:01Z,173.9,8.113920388226031,2026,2026-09-13
MS,T02,2026-09-13T23:24:54Z,2026-09-14T02:06:04Z,-64.83236135,45.30701729,-65.24382062,45.16305456,38.09974738,Actual,10,SB,38.09974738,2026-09-13T23:24:54Z,2026-09-14T02:06:04Z,161.16666666666666,7.658719022454932,2026,2026-09-13
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,10,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,10,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,10,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,10,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,10,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,10,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,10,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,10,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,10,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,10,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,10,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,10,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,10,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,10,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,10,SB,NA,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,-65.23333333,45.03636667,-64.68106667,45.21621667,NA,Plan,10,SB,47.77303993942598,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,-65.23333333,45.06242667,-64.70985333,45.23530667,NA,Plan,10,SB,45.380994034681216,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,-65.23333333,45.08848667,-64.73864,45.25439667,NA,Plan,10,SB,42.99208511401241,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,-65.23333333,45.11454667,-64.76742667,45.27348667,NA,Plan,10,SB,40.606569177919916,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,-65.23333333,45.14060667,-64.79621333,45.29257667,NA,Plan,10,SB,38.224765058434095,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,-65.23333333,45.16666667,-64.825,45.31166667,NA,Plan,10,SB,35.84707290841503,NA,NA,NA,NA,NA,NA
