Vessel,Transect.No.,Speed,Transect
BP,T01,9.225857071163524,T01
BP,T02,10.291325219657278,T02
C1,T01,9.01839797689377,T01
C1,T02,10.228259704473166,T02
FM,T01,8.763661956854348,T01
FM,T02,10.275202717975537,T02
LB,T01,8.961292903092223,T01
LB,T02,10.118992285393425,T02
LJ,T01,8.756560097104733,T01
LJ,T02,9.561788751784816,T02
LM,T01,8.702852258804713,T01
LM,T02,9.089339320516201,T02
MS,T01,9.202751674024736,T01
MS,T02,10.376932915414388,T02
SL,T01,9.03714112763202,T01
SL,T02,10.182751715725855,T02
