Vessel,Transect.No.,Speed,Transect
BP,T01,Inf,T01
BP,T02,Inf,T02
BP,T03,Inf,T03
C1,T01,Inf,T01
C1,T02,2.5528519033127055e-4,T02
C1,T03,Inf,T03
FM,T01,Inf,T01
FM,T02,Inf,T02
FM,T03,Inf,T03
LB,T01,Inf,T01
LB,T02,2.3871317789518e-4,T02
LB,T03,Inf,T03
LJ,T01,Inf,T01
LJ,T02,2.3365672953552463e-4,T02
LJ,T03,Inf,T03
LM,T01,Inf,T01
LM,T02,2.3635797313014914e-4,T02
LM,T03,Inf,T03
MS,T01,Inf,T01
MS,T02,2.4566913702863167e-4,T02
MS,T03,Inf,T03
SL,T01,Inf,T01
SL,T02,Inf,T02
SL,T03,Inf,T03
TM,T01,Inf,T01
TM,T02,2.3486191508513378e-4,T02
TM,T03,Inf,T03
