Vessel,Transect.No.,Speed,Transect
BP,T01,8.156569260022403,T01
BP,T02,8.107477838435758,T02
C1,T01,8.997002499521948,T01
C1,T02,8.592682834793752,T02
FM,T01,8.347083634383523,T01
FM,T02,8.420446541501077,T02
LB,T01,7.776856173953796,T01
LB,T02,8.030500624966965,T02
LJ,T01,8.022835154854523,T01
LJ,T02,8.041704698281992,T02
LM,T01,8.346459841656745,T01
LM,T02,8.310153644723416,T02
MS,T01,8.26390005779024,T01
MS,T02,8.451714423819642,T02
SL,T01,8.641377411810156,T01
SL,T02,8.570076153721866,T02
SL,T03,8.73138088428149,T03
TM,T01,7.058326620432748,T01
TM,T02,7.8332480752539615,T02
TM,T03,8.271203456359366,T03
