Vessel,Transect.No.,Speed,Transect
BP,T01,8.614900494996789,T01
BP,T02,8.651941009191304,T02
BP,T03,8.307513436866568,T03
BP,T04,8.742926506153946,T04
FM,T01,8.599669950378846,T01
FM,T02,8.559807784072323,T02
FM,T03,8.46440785900673,T03
FM,T04,8.559874032174545,T04
LB,T01,8.986321937154266,T01
LB,T02,8.515564461561324,T02
LB,T03,7.518432566426649,T03
LB,T04,8.859501404937511,T04
LJ,T01,8.445491794641047,T01
LJ,T02,8.361107661458169,T02
LJ,T03,8.058315990192495,T03
LJ,T04,8.713680171974683,T04
LM,T01,8.495933133647366,T01
LM,T02,8.439203430683335,T02
LM,T03,8.323839151520488,T03
LM,T04,8.824003614162491,T04
MS,T01,8.379208301855895,T01
MS,T02,8.927297010262297,T02
MS,T03,7.987449748932554,T03
MS,T04,9.174350411610714,T04
TM,T01,8.115767596557337,T01
TM,T02,8.453381515260487,T02
TM,T03,7.456734501919161,T03
TM,T04,8.77443862072199,T04
