Vessel,Transect.No.,Speed,Transect
BP,T01,8.313469416445859,T01
BP,T02,8.801743654601397,T02
BP,T03,8.577905343035228,T03
C1,T01,9.057776174487735,T01
C1,T02,9.155457582232168,T02
C1,T03,9.066579033693218,T03
FM,T01,8.195521296677358,T01
FM,T02,8.568836273298723,T02
FM,T03,8.658704927677014,T03
LB,T01,7.705310529418821,T01
LB,T02,9.091820356311295,T02
LB,T03,8.909347947729511,T03
LJ,T01,8.296143148023683,T01
LJ,T02,8.57815856436691,T02
LJ,T03,8.206206063110562,T03
LM,T01,8.230189101381997,T01
LM,T02,8.653481747621452,T02
LM,T03,8.012839059596145,T03
MS,T01,8.16711423877675,T01
MS,T02,8.809704494728969,T02
MS,T03,8.90652425784293,T03
TM,T01,7.894630213203284,T01
TM,T02,8.476933858047087,T02
TM,T03,8.554813331693087,T03
