Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14933299005003337,11.014340719929809,35859.1875,49784.595223974284,31.8270734399674,1489.6005595668551,1024.3043897904979
0.44999999999999996,0.4480111852144858,11.053444126790238,35836.567599071343,49699.229112541652,31.770802503948072,1489.6757577286821,1024.2551376201952
0.74999999999999989,0.7466900881734585,11.0365219427366,35859.436947027461,49754.297881479055,31.807853716181263,1489.665585921595,1024.2882757433722
1.05,1.0453612470710769,11.035076505590872,35882.757276787255,49788.651442463313,31.831967338105208,1489.6944497505447,1024.3086420561197
1.35,1.3440291058904448,11.031297833138266,35880.395703116388,49790.595761050979,31.832788816864987,1489.687040686362,1024.3113005962839
1.65,1.6426943533215412,11.032851740740606,35900.873377871758,49816.863838840123,31.8515049240347,1489.7199923118155,1024.3269437967877
1.9500000000000002,1.9413548916950822,11.035103241427162,35923.9559183414,49845.779097202671,31.872184020388289,1489.7577680167324,1024.3439914508838
2.25,2.2400120880917016,11.039585895394309,35935.453893623322,49855.5310789735,31.8795047629951,1489.7873325258872,1024.3502577783734
2.55,2.5386687173578535,11.036455521685936,35927.748678423675,49849.171010732673,31.874499612016805,1489.7751998420522,1024.3482712830582
2.85,2.8373256446963024,11.027549354281453,35916.6647309693,49846.111343541917,31.871173768589809,1489.7447065104814,1024.3486026074766
3.15,3.135981627360231,11.019298915719292,35914.401419688977,49854.387093602571,31.875976635669158,1489.7263072858277,1024.3551410082891
3.4499999999999997,3.434635591405419,11.013280700010775,35916.122706911287,49865.10810566134,31.882773668285527,1489.7181843244757,1024.362839404936
3.75,3.7332885993899745,11.009885240579063,35909.739193050067,49860.946450037358,31.879299053412918,1489.7069498515511,1024.3620889262727
4.05,4.0319418645317944,11.00704394218759,35904.135110219606,49857.099027438613,31.876111757209461,1489.6980166655221,1024.3614648576004
4.35,4.3305944703640211,11.003651331974485,35905.947779022346,49864.314382934033,31.880720429945871,1489.6965239527642,1024.3670012397236
4.6499999999999995,4.6292460156679152,10.999603476543776,35902.593594600425,49865.262568785576,31.880800370184623,1489.6872628120232,1024.3691294988987
4.9499999999999993,4.927895982744352,10.989989478560922,35902.138831612378,49877.951274477477,31.888576308537441,1489.6676095582491,1024.3782174051294
5.2499999999999991,5.22654389838502,10.983786689611172,35900.625198456284,49884.445886876463,31.892345788995197,1489.6551751070049,1024.3835919764742
5.55,5.5251916692849843,10.983934830418114,35893.949092943571,49874.96401116412,31.885501277312493,1489.6523907883991,1024.3795998579003
5.85,5.8238405629751524,10.983138951753121,35887.101427672009,49866.552047877361,31.879307611850603,1489.6470553402255,1024.3762790434041
6.1499999999999995,6.1224895350161983,10.979024752084039,35885.035533333,49869.383315141706,31.880716346770132,1489.6391526869452,1024.3794518829197
6.4499999999999993,6.4211369849100723,10.977587056465545,35891.774546490844,49880.741710332019,31.888493165018911,1489.6483766373967,1024.387110677995
6.7499999999999991,6.7197819839899857,10.973239579841927,35897.743710642149,49895.066624410887,31.898039568955724,1489.6494507162558,1024.3966544935913
7.0499999999999989,7.0184265632735539,10.968586282624752,35882.781185415348,49880.722171653921,31.887183074017322,1489.6248649148295,1024.3903800899902
7.35,7.31707134026031,10.961418970934956,35880.113009016146,49886.953901924,31.890651232718724,1489.6086468287479,1024.3956877111798
7.6499999999999995,7.6157161224460657,10.956724813280202,35866.828758369011,49874.9941000216,31.881484128649113,1489.5859451102472,1024.3907339422387
7.9499999999999993,7.914361605539896,10.956969810579315,35866.1554993712,49873.718069561306,31.880480805633219,1489.590538662801,1024.3912688085068
8.25,8.2130066335181287,10.960834484381484,35872.667237758345,49877.412123651586,31.88342890277363,1489.6126885368353,1024.3942456740181
8.5499999999999989,8.51165155250954,10.962653766757226,35870.645981000365,49872.078703710809,31.87972653282219,1489.6195953029062,1024.3924060032546
8.85,8.8102957260120949,10.958958540602588,35874.472598034488,49882.524486251874,31.886591336694181,1489.6197396160753,1024.3997494876949
9.1499999999999986,9.1089396313036044,10.960147076729836,35867.49169878594,49871.169356251259,31.878538321346252,1489.6191754575432,1024.3946355207922
9.45,9.4075833105504643,10.962623945199026,35877.774852658767,49882.03156050355,31.886416723849692,1489.6423585974032,1024.4016897582869
9.75,9.7062248797058821,10.958264253351258,35881.473805360321,49893.2228104089,31.89373371987616,1489.6406991391145,1024.4095010855269
10.049999999999999,10.00486600375886,10.955905714672817,35871.537241604412,49882.67786419022,31.885843292373494,1489.6277911753011,1024.4051328592816
