Vessel,Transect.No.,Date.Time.Start,Date.Time.End,Start.Lon,Start.Lat,End.Lon,End.Lat,Dist..km.,Type,id,Y,X,Yend,Xend,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
BP,T01,2025-05-21T18:42:46Z,2025-05-21T21:29:19Z,-65.24616422,45.08874764,-64.75995071,45.24957588,42.345907369,Actual,NA,NA,NA,NA,NA,2,SB,42.345907369,2025-05-21T18:42:46Z,2025-05-21T21:29:19Z,9993,8.237132851011403,2025,2025-05-21
BP,T02,2025-05-21T23:08:06Z,2025-05-22T01:52:13Z,-64.77111962,45.26940034,-65.23843887,45.12664624,40.12260202,Actual,NA,NA,NA,NA,NA,2,SB,40.12260202,2025-05-21T23:08:06Z,2025-05-22T01:52:13Z,9847,7.920373586935798,2025,2025-05-21
BP,T03,2025-05-21T22:34:45Z,2025-05-21T23:07:34Z,-64.64788327,45.30783601,-64.76913126,45.26962668,10.45634122,Actual,NA,NA,NA,NA,NA,2,SB,10.45634122,2025-05-21T22:34:45Z,2025-05-21T23:07:34Z,1969.0000000000002,10.322729465253834,2025,2025-05-21
BP,T04,2025-05-21T21:29:27Z,2025-05-21T22:24:37Z,-64.75959546,45.24969829,-64.61877392,45.28950756,11.934095,Actual,NA,NA,NA,NA,NA,2,SB,11.934095,2025-05-21T21:29:27Z,2025-05-21T22:24:37Z,3310,7.008450521087613,2025,2025-05-21
C1,T01,2025-05-21T19:00:44Z,2025-05-21T21:37:26Z,-65.23621167,45.11841167,-64.78508424,45.28003243,41.05018552,Actual,NA,NA,NA,NA,NA,2,SB,41.05018552,2025-05-21T19:00:44Z,2025-05-21T21:37:26Z,9402,8.487023252626761,2025,2025-05-21
C1,T02,2025-05-21T21:42:42Z,2025-05-21T23:57:44Z,-64.79538691,45.29018309,-65.19436557,45.15002975,36.07794286,Actual,NA,NA,NA,NA,NA,2,SB,36.07794286,2025-05-21T21:42:42Z,2025-05-21T23:57:44Z,8102,8.655856387186176,2025,2025-05-21
C1,T03,2025-05-22T00:03:07Z,2025-05-22T02:21:26Z,-65.20455035,45.16006843,-64.81299679,45.29628562,35.38343962,Actual,NA,NA,NA,NA,NA,2,SB,35.38343962,2025-05-22T00:03:07Z,2025-05-22T02:21:26Z,8299,8.287714817561248,2025,2025-05-22
LM,T01,2025-05-21T19:23:50Z,2025-05-21T21:50:04Z,-65.23691833,45.16470667,-64.82431098,45.31218274,37.24343716,Actual,NA,NA,NA,NA,NA,2,SB,37.24343716,2025-05-21T19:23:50Z,2025-05-21T21:50:04Z,8774,8.251114986220013,2025,2025-05-21
LM,T02,2025-05-21T21:53:47Z,2025-05-21T23:02:20Z,-64.83375961,45.31651491,-65.05124399,45.24973537,18.70719656,Actual,NA,NA,NA,NA,NA,2,SB,18.70719656,2025-05-21T21:53:47Z,2025-05-21T23:02:20Z,4113,8.841185743056261,2025,2025-05-21
LM,T03,2025-05-21T23:09:14Z,2025-05-22T00:12:53Z,-65.05009644,45.26324131,-64.84599476,45.32564691,17.57521077,Actual,NA,NA,NA,NA,NA,2,SB,17.57521077,2025-05-21T23:09:14Z,2025-05-22T00:12:53Z,3819,8.945639618527574,2025,2025-05-21
LM,T04,2025-05-22T00:19:21Z,2025-05-22T01:17:25Z,-64.864483860000007,45.3323743,-65.05140213,45.27623012,16.04618043,Actual,NA,NA,NA,NA,NA,2,SB,16.04618043,2025-05-22T00:19:21Z,2025-05-22T01:17:25Z,3484,8.952700162758669,2025,2025-05-22
LM,T05,2025-05-22T01:23:00Z,2025-05-22T02:17:11Z,-65.05243796,45.28920484,-64.87797792,45.34026566,14.90091585,Actual,NA,NA,NA,NA,NA,2,SB,14.90091585,2025-05-22T01:23:00Z,2025-05-22T02:17:11Z,3251,8.909565138684712,2025,2025-05-22
C1,NA,NA,NA,NA,NA,NA,NA,NA,Plan,1,45.09001961,-65.23333333,45.25551961,-64.74033333,2,SB,55.43056116403677,NA,NA,NA,NA,NA,NA
C1,NA,NA,NA,NA,NA,NA,NA,NA,Plan,2,45.10534902,-65.23333333,45.26674902,-64.75726667,2,SB,53.536850600635,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,1,45.12067843,-65.23333333,45.27797843,-64.7742,2,SB,51.643260780268584,NA,NA,NA,NA,NA,NA
