Vessel,Transect.No.,Speed,Transect
BP,T01,8.971767292873812,T01
BP,T02,9.005620495944235,T02
BP,T03,8.372466055807834,T03
BP,T04,8.46133524904643,T04
FM,T01,8.090670678880247,T01
FM,T02,8.504488185907075,T02
FM,T03,8.540639023743237,T03
FM,T04,8.537570513918954,T04
LB,T01,8.440750956560548,T01
LB,T02,8.751424861969975,T02
LB,T03,8.336109773387138,T03
LB,T04,8.734271630169813,T04
LJ,T01,8.460143944860272,T01
LJ,T02,8.594172995679006,T02
LJ,T03,8.66256227711431,T03
LJ,T04,8.477883111219015,T04
LM,T01,9.018447159816985,T01
LM,T02,8.874891751146565,T02
LM,T03,9.023230213027668,T03
LM,T04,8.852276613327257,T04
MS,T01,7.491896307546531,T01
MS,T02,9.475256918775132,T02
MS,T03,8.785112679586733,T03
MS,T04,8.955481001976038,T04
TM,T01,7.5924548225531785,T01
TM,T02,8.727256007290057,T02
TM,T03,8.255047966156926,T03
TM,T04,8.454724845037822,T04
