Vessel,Transect.No.,Date.Time.Start,Date.Time.End,Start.Lon,Start.Lat,End.Lon,End.Lat,Dist..km.,Type,id,Y,X,Yend,Xend,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
BP,T01,2024-05-05T03:00:00Z,2024-05-05T03:00:00Z,-65.2343455,45.13551237,-64.79101699,45.28562984,38.65297199,Actual,NA,NA,NA,NA,NA,1,SB,38.65297199,2024-05-05T03:00:00Z,2024-05-05T03:00:00Z,0,Inf,2024,2024-05-05
BP,T02,2024-05-05T03:00:00Z,2024-05-06T03:00:00Z,-64.80866662,45.30084,-65.23140575,45.15189175,37.16413089,Actual,NA,NA,NA,NA,NA,1,SB,37.16413089,2024-05-05T03:00:00Z,2024-05-06T03:00:00Z,5184000,2.3225670071121916e-4,2024,2024-05-05
LM,T01,2024-05-05T03:00:00Z,2024-05-05T03:00:00Z,-65.23410518,45.09021304,-64.74831481,45.2524234,42.417272,Actual,NA,NA,NA,NA,NA,1,SB,42.417272,2024-05-05T03:00:00Z,2024-05-05T03:00:00Z,0,Inf,2024,2024-05-05
LM,T04,2024-05-06T03:00:00Z,2024-05-06T03:00:00Z,-64.7642184,45.2644211,-65.2951106,45.08042519,46.8036526,Actual,NA,NA,NA,NA,NA,1,SB,46.8036526,2024-05-06T03:00:00Z,2024-05-06T03:00:00Z,0,Inf,2024,2024-05-06
MS,T01,2024-05-05T03:00:00Z,2024-05-05T03:00:00Z,-65.22564514,45.1662122,-64.82617378,45.31139156,36.684778152,Actual,NA,NA,NA,NA,NA,1,SB,36.684778152,2024-05-05T03:00:00Z,2024-05-05T03:00:00Z,0,Inf,2024,2024-05-05
MS,T02,2024-05-05T03:00:00Z,2024-05-05T03:00:00Z,-64.83471182,45.31666826,-65.05042213,45.24983746,18.96136724,Actual,NA,NA,NA,NA,NA,1,SB,18.96136724,2024-05-05T03:00:00Z,2024-05-05T03:00:00Z,0,Inf,2024,2024-05-05
MS,T03,2024-05-05T03:00:00Z,2024-05-06T03:00:00Z,-65.04953211,45.2640326,-64.84902143,45.32481028,17.60080496000001,Actual,NA,NA,NA,NA,NA,1,SB,17.60080496000001,2024-05-05T03:00:00Z,2024-05-06T03:00:00Z,5184000,1.099959770879836e-4,2024,2024-05-05
MS,T04,2024-05-06T03:00:00Z,2024-05-06T03:00:00Z,-64.86881067,45.33257667,-65.05126082,45.27575,16.065113719999992,Actual,NA,NA,NA,NA,NA,1,SB,16.065113719999992,2024-05-06T03:00:00Z,2024-05-06T03:00:00Z,0,Inf,2024,2024-05-06
MS,T05,2024-05-06T03:00:00Z,2024-05-06T03:00:00Z,-65.04970851,45.28988613,-64.88652342,45.33902332,14.406810100000003,Actual,NA,NA,NA,NA,NA,1,SB,14.406810100000003,2024-05-06T03:00:00Z,2024-05-06T03:00:00Z,0,Inf,2024,2024-05-06
LM,T02,2024-05-05T03:00:00Z,2024-05-05T03:00:00Z,-64.73359917,45.25488776,-64.54836911,45.30705546,15.788905499999993,Actual,NA,NA,NA,NA,NA,1,SB,15.788905499999993,2024-05-05T03:00:00Z,2024-05-05T03:00:00Z,0,Inf,2024,2024-05-05
LM,T03,2024-05-05T03:00:00Z,2024-05-06T03:00:00Z,-64.55041622,45.32893703,-64.75840103,45.2674419,17.782102800000022,Actual,NA,NA,NA,NA,NA,1,SB,17.782102800000022,2024-05-05T03:00:00Z,2024-05-06T03:00:00Z,5184000,1.1112899532777792e-4,2024,2024-05-05
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,1,45.09001961,-65.23333333,45.25551961,-64.74033333,1,SB,NA,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,2,45.10534902,-65.23333333,45.26674902,-64.75726667,1,SB,NA,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,1,45.12067843,-65.23333333,45.27797843,-64.7742,1,SB,NA,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,2,45.13600784,-65.23333333,45.28920784,-64.79113333,1,SB,NA,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,3,45.15133725,-65.23333333,45.30043725,-64.80806667,1,SB,NA,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,NA,NA,NA,NA,NA,Plan,1,45.16666667,-65.23333333,45.31166667,-64.825,1,SB,NA,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,NA,NA,NA,NA,NA,Plan,2,45.25,-65.05,45.31666667,-64.83333333,1,SB,NA,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,NA,NA,NA,NA,NA,Plan,3,45.26305,-65.05,45.32445,-64.85,1,SB,NA,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,NA,NA,NA,NA,NA,Plan,4,45.27611667,-65.05,45.33221667,-64.86666667,1,SB,NA,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,NA,NA,NA,NA,NA,Plan,5,45.28916667,-65.05,45.34,-64.88333333,1,SB,NA,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,3,45.254,-64.735,45.307,-64.55,1,SB,NA,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,4,45.269,-64.757,45.328,-64.55,1,SB,NA,NA,NA,NA,NA,NA,NA
