Vessel,Transect.No.,Speed,Transect
BP,T01,7.744456663297743,T01
BP,T02,8.428922916933637,T02
BP,T03,8.292658749544191,T03
BP,T04,8.697628785647465,T04
FM,T01,8.86890442016231,T01
FM,T02,8.640341707986488,T02
FM,T03,8.696077960902036,T03
FM,T04,8.63821351793461,T04
LB,T01,8.566747964890759,T01
LB,T02,8.877063012736448,T02
LB,T03,8.487450586777511,T03
LB,T04,9.065126665121399,T04
LJ,T01,8.335179459682992,T01
LJ,T02,8.278602809362397,T02
LJ,T03,8.445324497279902,T03
LJ,T04,8.741366548780752,T04
LM,T01,8.596961799264891,T01
LM,T02,8.437904036080582,T02
LM,T03,8.392512353191444,T03
LM,T04,9.140386418414478,T04
MS,T01,9.079574133175932,T01
MS,T02,8.719813822872831,T02
MS,T03,8.869954698927607,T03
MS,T04,9.407689373767155,T04
