Vessel,Transect.No.,Speed,Transect
FM,T01,8.707191083337298,T01
FM,T02,8.644537409089418,T02
FM,T03,8.749777903373035,T03
FM,T04,8.836932677714286,T04
LB,T01,8.610907423186843,T01
LB,T02,7.936075067327642,T02
LB,T03,8.447338205853136,T03
LB,T04,9.35083406332038,T04
LJ,T01,8.305636649639634,T01
LJ,T02,8.274973552793814,T02
LJ,T03,8.37612497655169,T03
LJ,T04,8.637246444346928,T04
LM,T01,8.712378067691105,T01
LM,T02,8.358918638107316,T02
LM,T03,8.228730604411806,T03
LM,T04,8.854660220517365,T04
MS,T01,8.882869460639405,T01
MS,T02,8.404881010244388,T02
MS,T03,8.73068882661336,T03
MS,T04,9.462929339833423,T04
