Vessel,Transect.No.,Date.Time.Start,Date.Time.End,X,Y,Xend,Yend,Dist..km.,Type,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
BP,T01,2026-09-06T19:24:52Z,2026-09-06T21:55:05Z,-66.46609214,43.57800824,-66.4651609,43.23448977,38.273387771,Actual,3,GB,38.273387771,2026-09-06T19:24:52Z,2026-09-06T21:55:05Z,150.21666666666667,8.25444825083553,2026,2026-09-06
BP,T02,2026-09-06T22:18:41Z,2026-09-07T00:46:27Z,-66.37154716,43.23324654,-66.37132551,43.56777194,37.30345908,Actual,3,GB,37.30345908,2026-09-06T22:18:41Z,2026-09-07T00:46:27Z,147.76666666666665,8.17865507535159,2026,2026-09-06
BP,T03,2026-09-07T01:11:38Z,2026-09-07T03:34:53Z,-66.27572308,43.56521515,-66.27507291,43.23575304,36.69217302,Actual,3,GB,36.69217302,2026-09-07T01:11:38Z,2026-09-07T03:34:53Z,143.25,8.298279651331798,2026,2026-09-07
FM,T01,2026-09-06T20:50:36Z,2026-09-06T23:18:36Z,-66.451595,43.56794667,-66.44896631,43.23391776,38.41850045,Actual,3,GB,38.41850045,2026-09-06T20:50:36Z,2026-09-06T23:18:36Z,148,8.409844359766668,2026,2026-09-06
FM,T02,2026-09-06T23:42:35Z,2026-09-07T02:10:20Z,-66.3567024,43.23364135,-66.35727613,43.56610774,38.02387217,Actual,3,GB,38.02387217,2026-09-06T23:42:35Z,2026-09-07T02:10:20Z,147.75,8.337543562203361,2026,2026-09-06
FM,T03,2026-09-07T02:35:17Z,2026-09-07T05:03:10Z,-66.26210637,43.56421665,-66.2621803,43.23677857,37.35294891,Actual,3,GB,37.35294891,2026-09-07T02:35:17Z,2026-09-07T05:03:10Z,147.88333333333333,8.183044766055945,2026,2026-09-07
LB,T01,2026-09-06T19:25:20Z,2026-09-06T21:48:37Z,-66.48025644,43.56596567,-66.47953952,43.23399775,37.975024334,Actual,3,GB,37.975024334,2026-09-06T19:25:20Z,2026-09-06T21:48:37Z,143.28333333333333,8.586410527091143,2026,2026-09-06
LB,T02,2026-09-06T22:15:45Z,2026-09-07T00:57:53Z,-66.38432333,43.23306833,-66.3840639,43.56711444,38.34480051,Actual,3,GB,38.34480051,2026-09-06T22:15:45Z,2026-09-07T00:57:53Z,162.13333333333333,7.662022720328783,2026,2026-09-06
LB,T03,2026-09-07T01:24:18Z,2026-09-07T03:44:46Z,-66.28825978,43.56383114,-66.28837551,43.23335193,37.64683394,Actual,3,GB,37.64683394,2026-09-07T01:24:18Z,2026-09-07T03:44:46Z,140.46666666666667,8.682892938529854,2026,2026-09-07
LJ,T01,2026-09-06T20:07:30Z,2026-09-06T22:31:22Z,-66.41138372,43.56687136,-66.41151217,43.23482694,37.015808225,Actual,3,GB,37.015808225,2026-09-06T20:07:30Z,2026-09-06T22:31:22Z,143.86666666666667,8.33558951113114,2026,2026-09-06
LJ,T02,2026-09-06T22:55:53Z,2026-09-07T01:23:32Z,-66.31711537,43.23331686,-66.31459396,43.56179982,36.572523,Actual,3,GB,36.572523,2026-09-06T22:55:53Z,2026-09-07T01:23:32Z,147.65,8.024735648303418,2026,2026-09-06
LJ,T03,2026-09-07T01:54:47Z,2026-09-07T03:47:11Z,-66.22187006,43.50050679,-66.22009959,43.24774486,28.13468364,Actual,3,GB,28.13468364,2026-09-07T01:54:47Z,2026-09-07T03:47:11Z,112.39999999999999,8.109330285702491,2026,2026-09-07
LM,T01,2026-09-06T19:50:52Z,2026-09-06T22:18:51Z,-66.43766333,43.57085,-66.43857563,43.2355813,38.07277956,Actual,3,GB,38.07277956,2026-09-06T19:50:52Z,2026-09-06T22:18:51Z,147.98333333333335,8.335104383366415,2026,2026-09-06
LM,T02,2026-09-06T22:41:49Z,2026-09-07T01:07:19Z,-66.34393781,43.23251875,-66.34295333,43.56694337,37.81308937,Actual,3,GB,37.81308937,2026-09-06T22:41:49Z,2026-09-07T01:07:19Z,145.5,8.419541310536173,2026,2026-09-06
LM,T03,2026-09-07T01:30:23Z,2026-09-07T03:55:45Z,-66.247705,43.56720165,-66.24948765,43.23338247,37.6649123,Actual,3,GB,37.6649123,2026-09-07T01:30:23Z,2026-09-07T03:55:45Z,145.36666666666667,8.39424021156065,2026,2026-09-07
MS,T01,2026-09-06T21:04:13Z,2026-09-06T23:21:05Z,-66.49094187,43.56106152,-66.49219641,43.23422523,39.285992968,Actual,3,GB,39.285992968,2026-09-06T21:04:13Z,2026-09-06T23:21:05Z,136.86666666666667,9.299279660364967,2026,2026-09-06
MS,T02,2026-09-06T23:46:16Z,2026-09-07T02:16:08Z,-66.39876408,43.23648735,-66.397715,43.56526365,38.68488611,Actual,3,GB,38.68488611,2026-09-06T23:46:16Z,2026-09-07T02:16:08Z,149.86666666666667,8.362681162818326,2026,2026-09-06
MS,T03,2026-09-07T02:41:02Z,2026-09-07T04:52:54Z,-66.3033103,43.56252637,-66.302399930000007,43.24643127,36.50922195,Actual,3,GB,36.50922195,2026-09-07T02:41:02Z,2026-09-07T04:52:54Z,131.86666666666665,8.969677198595551,2026,2026-09-07
