Vessel,Transect.No.,Speed,Transect
BP,T01,8.25444825083553,T01
BP,T02,8.17865507535159,T02
BP,T03,8.298279651331798,T03
BP,T04,10.290209309246526,T04
FM,T01,8.409844359766668,T01
FM,T02,8.337543562203361,T02
FM,T03,8.183044766055945,T03
FM,T04,8.950926567261844,T04
LB,T01,8.586410527091143,T01
LB,T02,7.662022720328783,T02
LB,T03,8.682892938529854,T03
LB,T04,9.074320311876297,T04
LJ,T01,8.33558951113114,T01
LJ,T02,8.024735648303418,T02
LJ,T03,8.109330285702491,T03
LJ,T04,8.331288066521859,T04
LM,T01,8.335104383366415,T01
LM,T02,8.419541310536173,T02
LM,T03,8.39424021156065,T03
LM,T04,8.329806392943922,T04
MS,T01,9.299279660364967,T01
MS,T02,8.362681162818326,T02
MS,T03,8.969677198595551,T03
MS,T04,9.715690461008398,T04
TM,T01,8.232872905411467,T01
TM,T02,7.546181812044778,T02
TM,T03,8.430756670282571,T03
TM,T04,9.919772697093796,T04
