Tag_Num,DateTagged,TaggedLon,TaggedLat,TaggedArea,TagReturnDate,ReturnedLat,ReturnedLon,TagReturnArea,id,dataorigin,geometry
422788,2016-08-01,-66.3963,43.4042,German Bank,2016-08-31,43.45,-66.33333333,German Bank,2016-08-31 Leroy & Barry II,rawReturn.csv,"c(-66.3963, 43.4042)"
422812,2016-08-01,-66.3963,43.4042,German Bank,2016-10-14,44.28333333,-66.96666667,Northeast Bank,2016-10-14 Margaret Elizabeth,rawReturn.csv,"c(-66.3963, 43.4042)"
422951,2016-08-01,-66.3963,43.4042,German Bank,2016-08-16,43.41666667,-66.31666667,German Bank,2016-08-16 Silver Harvester,rawReturn.csv,"c(-66.3963, 43.4042)"
457012,2017-07-20,-66.0465,43.22866667,German Bank,2017-08-16,43.43333333,-66.3,German Bank,2017-08-16 Leroy & Barry II,rawReturn.csv,"c(-66.0465, 43.22866667)"
454158,2017-07-25,-66.3812,43.43866667,German Bank,2017-08-31,43.45,-66.33333333,German Bank,2017-08-31 Leroy & Barry II,rawReturn.csv,"c(-66.3812, 43.43866667)"
457449,2017-07-25,-66.3812,43.43866667,German Bank,2017-07-26,43.43333333,-66.38333333,German Bank,2017-07-26 Lady Melissa,rawReturn.csv,"c(-66.3812, 43.43866667)"
457452,2017-07-25,-66.3812,43.43866667,German Bank,2017-09-12,44.26316667,-67.01083333,Northeast Bank,2017-09-12 Canada 100,rawReturn.csv,"c(-66.3812, 43.43866667)"
457506,2017-07-25,-66.3812,43.43866667,German Bank,2017-08-17,43.31266667,-66.386,German Bank,2017-08-17 Brunswick Provider,rawReturn.csv,"c(-66.3812, 43.43866667)"
457550,2017-07-25,-66.3812,43.43866667,German Bank,2017-07-26,43.48333333,-66.4,German Bank,2017-07-26 Lady Janice II,rawReturn.csv,"c(-66.3812, 43.43866667)"
457674,2017-07-25,-66.3812,43.43866667,German Bank,2017-07-27,43.4,-66.35266667,German Bank,2017-07-27 Lady Melissa,rawReturn.csv,"c(-66.3812, 43.43866667)"
457761,2017-07-25,-66.3812,43.43866667,German Bank,2017-07-27,43.42083333,-66.41266667,German Bank,2017-07-27 Canada 100,rawReturn.csv,"c(-66.3812, 43.43866667)"
458234,2017-07-26,-66.362,43.3805,German Bank,2017-09-11,43.45,-66.33333333,German Bank,2017-09-11 Margaret Elizabeth,rawReturn.csv,"c(-66.362, 43.3805)"
458295,2017-07-26,-66.362,43.3805,German Bank,2017-07-27,43.4,-66.35266667,German Bank,2017-07-27 Lady Melissa,rawReturn.csv,"c(-66.362, 43.3805)"
458336,2017-07-26,-66.362,43.3805,German Bank,2017-07-27,43.4,-66.35266667,German Bank,2017-07-27 Lady Melissa,rawReturn.csv,"c(-66.362, 43.3805)"
454497,2017-07-26,-66.41,43.48667,German Bank,2017-09-11,43.41666667,-66.33333333,German Bank,2017-09-11 Morning Star,rawReturn.csv,"c(-66.41, 43.48667)"
453163,2017-07-27,-66.4178,43.43233333,German Bank,2018-06-01,44.32866667,-66.31283333,Long Island,2018-06-01 Canada 100,rawReturn.csv,"c(-66.4178, 43.43233333)"
453405,2017-07-27,-66.4178,43.43233333,German Bank,2023-04-19,,,Scots Bay,2023-04-19 Lady Janice II,Tag returns from website or email 2025 Draw.xlxs (no coordinates as found on beach),"c(-66.4178, 43.43233333)"
458887,2017-07-27,-66.4178,43.43233333,German Bank,2017-08-21,43.451,-66.37183333,German Bank,2017-08-21 Canada 100,rawReturn.csv,"c(-66.4178, 43.43233333)"
