Coordinates For Survey Boxes,,,,
,,,,
German Bank,,,,
4334,6614.4,,43.56666667,-66.24
4314,6614.4,,43.23333333,-66.24
4334,6629.6,,43.56666667,-66.49333333
4314,6629.6,,43.23333333,-66.49333333
,,,,
Seal Island,,,,
4330.12,6607.5,,43.502,-66.125
4314.85,6607.5,,43.2475,-66.125
4330.12,6613.8,,43.502,-66.23
4314.85,6613.8,,43.2475,-66.23
,,,,
Scots Bay,,,,
4502.182,6514,,45.03636667,-65.23333333
4512.973,6440.864,,45.21621667,-64.68106667
4510,6514,,45.16666667,-65.23333333
4518.7,6449.5,,45.31166667,-64.825
,,,,
North Box,,,,
4515,6503,,45.25,-65.05
4519,6450,,45.31666667,-64.83333333
4517.35,6503,,45.28916667,-65.05
4520.4,6453,,45.34,-64.88333333
,,,,
East Box,,,,
4513.475,6441.48,,45.22458333,-64.69133333
4515.825,6433,,45.26375,-64.55
4516.12,6445.43,,45.26866667,-64.75716667
4519.7,6433,,45.32833333,-64.55
