Total Returned Tags,Returned Tags,Returned from,Total Tags,All Tags,Notes
,528662,Scotia Gardens,,588302,
,567921,Scotia Gardens,,588303,
,567742,Scotia Gardens,,588304,
,528600,Scotia Gardens,,588305,
,564455,Scotia Gardens,,588306,
,521299,Scotia Gardens,,588307,
,,,,588308,
,,,,588309,
,,,,588310,
,,,,588311,
,,,,588312,
,,,,588313,
,,,,588314,
,,,,588315,
,,,,588316,
,,,,588317,
,,,,588318,
,,,,588319,
,,,,588320,
,,,,588321,
,,,,588322,
,,,,588323,
,,,,588324,
,,,,588325,
,,,,588326,
,,,,588327,
,,,,588328,
,,,,588329,
,,,,588330,
,,,,588331,
,,,,588332,
,,,,588333,
,,,,588334,
,,,,588335,
,,,,588336,
,,,,588337,
,,,,588338,
,,,,588339,
,,,,588340,
,,,,588341,
,,,,588342,
,,,,588343,
,,,,588344,
,,,,588345,
,,,,588346,
,,,,588347,
,,,,588348,
,,,,588349,
,,,,588350,
,,,,588351,
,,,,588352,
,,,,588353,
,,,,588354,
,,,,588355,
,,,,588356,
,,,,588357,
,,,,588358,
,,,,588359,
,,,,588360,
,,,,588361,
,,,,588362,
,,,,588363,
,,,,588364,
,,,,588365,
,,,,588366,
,,,,588367,
,,,,588368,
,,,,588369,
,,,,588370,
,,,,588371,
,,,,588372,
,,,,588373,
,,,,588374,
,,,,588375,
,,,,588376,
,,,,588377,
,,,,588378,
,,,,588379,
,,,,588380,
,,,,588381,
,,,,588382,
,,,,588383,
,,,,588384,
,,,,588385,
,,,,588386,
,,,,588387,
,,,,588388,
,,,,588389,
,,,,588390,
,,,,588391,
,,,,588392,
,,,,588393,
,,,,588394,
,,,,588395,
,,,,588396,
,,,,588397,
,,,,588398,
,,,,588399,
,,,,588400,
,,,,591493,
,,,,591494,
,,,,591495,
,,,,591496,
,,,,591497,
,,,,591498,
,,,,591499,
,,,,591500,
,,,,591501,
,,,,591502,
,,,,591503,
,,,,591504,
,,,,591505,
,,,,591506,
,,,,591507,
,,,,591508,
,,,,591509,
,,,,591510,
,,,,591511,
,,,,591512,
,,,,591513,
,,,,591514,
,,,,591515,
,,,,591516,
,,,,591517,
,,,,591518,
,,,,591519,
,,,,591520,
,,,,591521,
,,,,591522,
,,,,591523,
,,,,591524,
,,,,591525,
,,,,591526,
,,,,591527,
,,,,591528,
,,,,591529,
,,,,591530,
,,,,591531,
,,,,591532,
,,,,591533,
,,,,591534,
,,,,591535,
,,,,591536,
,,,,591537,
,,,,591538,
,,,,591539,
,,,,591540,
,,,,591541,
,,,,591542,
,,,,591543,
,,,,591544,
,,,,591545,
,,,,591546,
,,,,591547,
,,,,591548,
,,,,591549,
,,,,591550,
,,,,591551,
,,,,591552,
,,,,591553,
,,,,591554,
,,,,591555,
,,,,591556,
,,,,591557,
,,,,591558,
,,,,591559,
,,,,591560,
,,,,591561,
,,,,591562,
,,,,591563,
,,,,591564,
,,,,591565,
,,,,591566,
,,,,591567,
,,,,591568,
,,,,591569,
,,,,591570,
,,,,591571,
,,,,591572,
,,,,591573,
,,,,591574,
,,,,591575,
,,,,591576,
,,,,591577,
,,,,591578,
,,,,591579,
,,,,591580,
,,,,591581,
,,,,591582,
,,,,591583,
,,,,591584,
,,,,591585,
,,,,591586,
,,,,591587,
,,,,591588,
,,,,591589,
,,,,591590,
,,,,591591,
,,,,591592,
,,,,591593,
,,,,591594,
,,,,591595,
,,,,591596,
,,,,591597,
,,,,591598,
,,,,591599,
,,,,591600,
,,,,591601,
,,,,591602,
,,,,591603,
,,,,591604,
,,,,591605,
,,,,591606,
,,,,591607,
,,,,591608,
,,,,591609,
,,,,591610,
,,,,591611,
,,,,591612,
,,,,591613,
,,,,591614,
,,,,591615,
,,,,591616,
,,,,591617,
,,,,591618,
,,,,591619,
,,,,591620,
,,,,591621,
,,,,591622,
,,,,591623,
,,,,591624,
,,,,591625,
,,,,591626,
,,,,591627,
,,,,591628,
,,,,591629,
,,,,591630,
,,,,591631,
,,,,591632,
,,,,591633,
,,,,591634,
,,,,591635,
,,,,591636,
,,,,591637,
,,,,591638,
,,,,591639,
,,,,591640,
,,,,591641,
,,,,591642,
,,,,591643,
,,,,591644,
,,,,591645,
,,,,591646,
,,,,591647,
,,,,591648,
,,,,591649,
,,,,591650,
,,,,591651,
