Vessel,Transect No.,Date Time Start,Date Time End,Start Lon,Start Lat,End Lon,End Lat,Dist (km)
FM,T01,2025-08-11 22:00:50,2025-08-12 00:41:52,-65.2352179,45.06219146,-64.71735365,45.23338281,45.304779965
FM,T02,2025-08-12 01:29:08,2025-08-12 03:53:00,-64.80070762,45.29021816,-65.22960401,45.14246591,37.73489179
LJ,T01,2025-08-11 20:24:56,2025-08-11 23:16:31,-65.23408333,45.03616667,-64.68376742,45.21540009,47.71721901
LJ,T02,2025-08-12 00:05:25,2025-08-12 02:55:05,-64.76738896,45.27338354,-65.23363653,45.11445384,40.80018103
LM,T01,2025-08-11 20:22:31,2025-08-11 23:12:19,-65.24664652,45.08478203,-64.73780909,45.25313612,44.423199907
LM,T02,2025-08-12 00:01:14,2025-08-12 02:21:25,-64.82267921,45.31162055,-65.23425513,45.1657535,36.89545497
MS,T01,2025-08-11 20:02:19,2025-08-11 21:17:49,-65.05124,45.24920167,-64.83523467,45.31644027,19.18451311
MS,T02,2025-08-11 21:25:26,2025-08-11 22:41:07,-64.85155213,45.32324171,-65.04574323,45.26454058,17.58594553
MS,T03,2025-08-11 22:45:50,2025-08-11 23:43:01,-65.04760191,45.27677202,-64.86872272,45.33162155,15.67398606
MS,T04,2025-08-11 23:50:02,2025-08-12 00:49:25,-64.8862811,45.3385392,-65.04420477,45.29096143,14.30784624
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
