Vessel,Transect.No.,Speed,Transect
FM,T01,8.784989993584334,T01
FM,T02,8.657207106186254,T02
FM,T03,8.708754164691117,T03
FM,T04,8.8258101865902,T04
LB,T01,8.476599767877206,T01
LB,T02,7.466542625743854,T02
LB,T03,8.787751553230388,T03
LB,T04,8.914749076419335,T04
LJ,T01,8.32487587842745,T01
LJ,T02,8.186563289893455,T02
LJ,T03,8.263006865346291,T03
LJ,T04,8.63002119696829,T04
LM,T01,8.422142878276418,T01
LM,T02,8.35832587847613,T02
LM,T03,8.520644966254263,T03
LM,T04,8.594007109560216,T04
MS,T01,8.99317473034218,T01
MS,T02,8.500301380820806,T02
MS,T03,8.662044689468438,T03
MS,T04,9.339330907694,T04
