Vessel,Transect.No.,Speed,Transect
BP,T01,8.004510034855286,T01
BP,T02,7.948918369134185,T02
BP,T03,8.46964947911948,T03
BP,T04,9.561517097841424,T04
FM,T01,8.530919735540133,T01
FM,T02,8.316813402567883,T02
FM,T03,8.23429503102057,T03
FM,T04,8.960554171123544,T04
LB,T01,7.932584377965926,T01
LB,T02,8.323134241064327,T02
LB,T03,9.019960227134495,T03
LB,T04,9.431488086527308,T04
LJ,T01,8.224805780830659,T01
LJ,T02,8.47112182405899,T02
LJ,T03,8.115892105379302,T03
LJ,T04,8.54344025445685,T04
LM,T01,8.326234115886267,T01
LM,T02,8.439870956506638,T02
LM,T03,8.424486404852159,T03
LM,T04,8.92554229640115,T04
MS,T01,9.05084167333041,T01
MS,T02,8.599659245824723,T02
MS,T03,8.492724561871198,T03
MS,T04,10.042609092486884,T04
TM,T01,7.806095490098573,T01
TM,T02,8.074215219840287,T02
TM,T03,8.452475042388615,T03
TM,T04,8.561145464362673,T04
