ID,Depth,Temperature,Salinity,Ground,Date,Lat,Lon,Year,Survey,Julian,Biomass,Month,station_name,mean_temp,total_precip,total_snow,total_rain,spd_max_gust,min_temp,max_temp,heat_deg_days,cool_deg_days,In_Box
10K100766_20170622_062437,0.149392044,8.329077962,30.74703094,Scots Bay,2017-06-22,45.1409,-65.2193,2017,1,173,NA,6,GREENWOOD A,19.2,0,0,0,NA,12.6,25.8,0,1.2,0
10K100766_20170622_062437,0.448182533,8.330329214,30.74433545,Scots Bay,2017-06-22,45.1409,-65.2193,2017,1,173,NA,6,GREENWOOD A,19.2,0,0,0,NA,12.6,25.8,0,1.2,0
10K100766_20170622_062437,0.746972422,8.327728448,30.73056562,Scots Bay,2017-06-22,45.1409,-65.2193,2017,1,173,NA,6,GREENWOOD A,19.2,0,0,0,NA,12.6,25.8,0,1.2,0
10K100766_20170622_062437,1.045764454,8.326758513,30.72192294,Scots Bay,2017-06-22,45.1409,-65.2193,2017,1,173,NA,6,GREENWOOD A,19.2,0,0,0,NA,12.6,25.8,0,1.2,0
10K100766_20170622_062437,1.34455994,8.329081998,30.69757419,Scots Bay,2017-06-22,45.1409,-65.2193,2017,1,173,NA,6,GREENWOOD A,19.2,0,0,0,NA,12.6,25.8,0,1.2,0
10K100766_20170622_062437,1.643358562,8.330363321,30.69214067,Scots Bay,2017-06-22,45.1409,-65.2193,2017,1,173,NA,6,GREENWOOD A,19.2,0,0,0,NA,12.6,25.8,0,1.2,0
10K100766_20170622_062437,1.942159763,8.32985725,30.67214319,Scots Bay,2017-06-22,45.1409,-65.2193,2017,1,173,NA,6,GREENWOOD A,19.2,0,0,0,NA,12.6,25.8,0,1.2,0
10K100766_20170622_062437,2.240954889,8.336515543,30.74339126,Scots Bay,2017-06-22,45.1409,-65.2193,2017,1,173,NA,6,GREENWOOD A,19.2,0,0,0,NA,12.6,25.8,0,1.2,0
10K100766_20170622_062437,2.539740515,8.333229887,30.75284751,Scots Bay,2017-06-22,45.1409,-65.2193,2017,1,173,NA,6,GREENWOOD A,19.2,0,0,0,NA,12.6,25.8,0,1.2,0
10K100766_20170622_062437,2.838525497,8.336095969,30.74593251,Scots Bay,2017-06-22,45.1409,-65.2193,2017,1,173,NA,6,GREENWOOD A,19.2,0,0,0,NA,12.6,25.8,0,1.2,0
